,precision,recall,f1-score,support
beige,0.6785714285714286,0.3089430894308943,0.42458100558659223,123.0
black,0.8023255813953488,0.9261744966442953,0.8598130841121495,298.0
blue,0.9906103286384976,0.7672727272727272,0.8647540983606556,275.0
brown,0.8631578947368421,0.6919831223628692,0.7681498829039813,237.0
cream,0.6,0.3870967741935484,0.47058823529411764,31.0
crimson,0.2,0.25,0.22222222222222224,8.0
gold,1.0,0.12,0.21428571428571425,25.0
green,0.926829268292683,0.8260869565217391,0.8735632183908046,46.0
grey,0.7655860349127181,0.8950437317784257,0.825268817204301,343.0
navy-blue,0.3956043956043956,0.8,0.5294117647058824,45.0
orange,0.8918918918918919,0.7021276595744681,0.7857142857142857,47.0
red,0.950381679389313,0.9613899613899614,0.9558541266794626,259.0
silver,0.564935064935065,0.8246445497630331,0.6705202312138728,211.0
titanium,0.6721311475409836,0.7592592592592593,0.7130434782608696,54.0
white,0.9715707178393745,0.9526132404181185,0.9619985925404644,1435.0
yellow,1.0,0.8703703703703703,0.9306930693069307,54.0
accuracy,0.8587797192781438,0.8587797192781438,0.8587797192781438,0.8587797192781438
macro avg,0.7670997146092838,0.6901878711862319,0.6919038641738942,3491.0
weighted avg,0.8764090687957052,0.8587797192781438,0.8571494622247945,3491.0
